"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"107","RB","Roy Helu","OAK",11.5,"$3,000","$260.87"
"108","QB","Colin Kaepernick","SF",11.1,"$5,500","$495.50"
"109","DEF","Oakland Raiders","OAK",11,"$2,600","$236.36"
"110","WR","Stedman Bailey","LA",11,"$3,000","$272.73"
"111","WR","Jarvis Landry","MIA",10.9,"$6,500","$596.33"
"112","WR","Michael Floyd","ARI",10.9,"$3,300","$302.75"
"113","TE","C.J. Fiedorowicz","HOU",10.8,"$2,500","$231.48"
"114","RB","Zac Stacy","NYJ",10.5,"$3,000","$285.71"
"115","WR","Michael Campanaro","BAL",10.5,"$3,000","$285.71"
"116","WR","Jermaine Kearse","SEA",10.4,"$3,600","$346.15"
"117","QB","Peyton Manning","DEN",10.32,"$7,200","$697.67"
"118","RB","Eddie Lacy","GB",10.3,"$6,900","$669.90"
"119","RB","Khiry Robinson","NYJ",10.1,"$3,000","$297.03"
"120","DEF","Denver Broncos","DEN",10,"$3,300","$330.00"
"121","DEF","New York Giants","NYG",10,"$2,700","$270.00"
"122","DEF","Washington Redskins","WAS",10,"$2,600","$260.00"
"123","DEF","Los Angeles Rams","LA",10,"$2,700","$270.00"
"124","TE","Tyler Eifert","CIN",9.9,"$4,600","$464.65"
"125","WR","Emmanuel Sanders","DEN",9.8,"$7,700","$785.71"
"126","TE","Jason Witten","DAL",9.7,"$4,400","$453.61"
"127","RB","Chris Thompson","WAS",9.7,"$3,500","$360.82"
"128","TE","Jake Stoneburner","LA",9.6,"$2,500","$260.42"
"129","WR","Keith Mumphery","HOU",9.6,"$3,000","$312.50"
"130","QB","Joe Flacco","BAL",9.56,"$6,000","$627.62"
"131","WR","Ryan Grant","WAS",9.5,"$3,000","$315.79"
"132","WR","Randall Cobb","GB",9.4,"$7,400","$787.23"
"133","WR","Brenton Bersin","CAR",9.4,"$3,000","$319.15"
"134","WR","Chris Hogan","NE",9.3,"$3,200","$344.09"
"135","WR","Antonio Brown","PIT",9.2,"$9,200","$1,000.00"
"136","TE","Josh Hill","NO",9.1,"$2,500","$274.73"
"137","DEF","Pittsburgh Steelers","PIT",9,"$2,900","$322.22"
"138","DEF","Seattle Seahawks","SEA",9,"$3,700","$411.11"
"139","TE","Marcedes Lewis","JAC",9,"$2,500","$277.78"
"140","TE","Owen Daniels","DEN",8.9,"$2,700","$303.37"
"141","TE","Travis Kelce","KC",8.9,"$5,300","$595.51"
"142","WR","Tyler Lockett","SEA",8.9,"$3,500","$393.26"
"143","WR","Odell Beckham Jr.","NYG",8.8,"$9,100","$1,034.09"
